動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
読み出せる,よみだせる,,,,,,T,,,,ダイアグ検出をして表示器を用いてドライバに通知する場合、ダイアグコードを記憶して診断ツールで読み出せること,,デ,,,
利用する,りようする,,"



",,"

クルーズシステム [3]
クルーズシステム [4]
クルーズシステム [5]","



",T,"



",,F,"[1] センサの性能が落ちたら、利用できないようにすること
[2] 車両の挙動が安定しない場所では、利用できないようにすること
[3] センサ汚れによりクルーズシステムの利用を禁止した場合、汚れが無くなった時点で即座にクルーズシステムを利用できるようにする
[4] 低速でクルーズシステムをキャンセルした場合は、速度条件が満たされた時点で即座にクルーズシステムを利用できるようにする
[5] 他システムが故障した場合は、状態が治った段階でダイアグを解除し、クルーズシステムを利用できる状態にする","



","ニ [1]
ニ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]",,,
加速する,かそくする,,"

車間距離 [3]
先行車 [4]
先行車 [5]
先行車 [6]
先行車 [7]
同上先行車 [8]
先行車 [9]





参照先行車 [15]


大きいの [18]

",,"












自車 [14]





","


















",F,"


















",,F,"[1] クルーズシステムのセット車速の上限（高速リミット）を越えて加速しないこと。
[2] 同上クルーズシステムのセット車速の上限（高速リミット）を越えて加速しないこと。
[3] 先行車がいるときに車間距離が目標車間距離より開いている場合、車間距離と目標車間距離の差に応じて加速する。
[4] 先行車が加速する場合は、基本的に自車から離れていくので先行車に近づきすぎることでのドライバの不快感はないが、先行車が減速する場合は、先行車の減速の度合いによっては先行車に必要以上に近づくので、減速は加速より速やかに行う。
[5] 目標車間距離を保つために自車を減速させているとき、先行車が加速して車間距離が広がっていくと判断した場合は、必要以上に減速を行わない。
[6] 同上目標車間距離を保つために自車を減速させているとき、先行車が加速して車間距離が広がっていくと判断した場合は、必要以上に減速を行わない。
[7] 先行車が加速しても車間距離が大きく開かない場合、加速度の変動が小さくなるように抑制する。
[8] 同上先行車が加速しても車間距離が大きく開かない場合、加速度の変動が小さくなるように抑制する。
[9] 先行車が自車線を外れながら加速していく場合は、先行車に追従せず、自車速がセット車速になるように走行・もしくは車線変更した先行車の更に前方にいる車両に追従走行する
[10] アクセルペダルによって一時的に加速する
[11] ＜アクセルペダルによって一時的に加速する＞
[12] ＜アクセルペダルによって一時的に加速する＞
[13] 先行車との車間距離が目標車間距離より離れたときに、自車を加速させて先行車に接近するが、現車速から滑らかに加速していくようにしている。
[14] 先行車との車間距離が目標車間距離より離れたときに、自車を加速させて先行車に接近するが、現車速から滑らかに加速していくようにしている。
[15] ACC-15CY-NA-FR-FR0003-S10を参照先行車が加速しても車間距離が大きく開かない場合、加速度の変動が小さくなるように抑制する。
[16] 一時的に加速した後など、現在の車速とセット車速が乖離していることがある。
[17] 一時的に加速した後など、現在の車速とセット車速が乖離していることがある。
[18] クルーズシステム復帰後、セット車速と自車速の差が大きいの場合は強めに、セット車速と自車速の差が小さい場合は弱めに加速する。
[19] また、システムが“ACC作動状態”にあって、速度がVlowより低い時、自動加速しないこと。
[20] dmax=Tmax(Vset.max)×Vset.max　---(1)前車がd0からd1の距離範囲内にある場合、ACCシステムは、本車と前車との間の距離および相対速度を測定しなくてもよいが、前車の存在を検知し、かつ、車間距離を延長するか、および(あるいは)、自動加速しないこと。","


















","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ,ヨリ [3]
ニ,カラ [4]
ニ [5]
ニ [6]
ニ [7]
ニ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]
ニ,カラ [14]
ニ [15]
ニ,カラ [16]
ニ,カラ [17]
ニ,カラ [18]
ニ,カラ [19]
ニ,カラ [20]",,,減速する
化する,かする,,"
",,"
ブレーキスイッチ [2]","
",T,"部分でき [1]
",,,"[1] 但し、部分できに多系統化できない場合、システム全体の中で多系統化する。
[2] ブレーキペダル操作によるキャンセルをより確実にするため、ブレーキ操作検出機構たとえばブレーキスイッチを2系統化し、いずれか一方にブレーキ操作が検出された場合は定速走行制御をキャンセルする。","
","
",,,
施錠する,せじょうする,,ロッカー,,,,,,,,本書の保管方法については、データはBBS2で管理し、原紙は、システム部署にて施錠可能なロッカーにて保管すること。,,"ニ,デ",,,
収束する,しゅうそくする,,"車速 [1]
車間距離 [2]",,"
","
",F,"セット車速 [1]
",,T,"[1] 先行車がいない場合のリジューム中に、車速がセット車速に収束したら一定速で走行する
[2] 先行車がいる場合のリジューム中に、先行車との車間距離が目標車間距離に収束したら、先行車に追従する。","
","カラ [1]
ニ,カラ [2]",,,
引用する,いんようする,,,,　導入可否判定書,,T,,,,2013年4月現在の先進安全　導入可否判定書を引用して、掲載する。,,"ニ,カラ",,,
つく,つく,,"

]GB [3]",,"

","

",F,"追加 [1]

規定 [3]",,T,"[1] 自工会　自主規制「AT車の急発進・急加速に関する試験調査（中間報告）における提言に対する検討結果の追加について」に準拠すること
[2] そのような異常についてはACC-15CY-NA-FR-FR0065-T02を参照のこと。
[3] [重要考え方]GB/T4782はシンボルの意味合いのみ規定しており、シンボルの形状の規定についてはない。","

","
ニ,カラ [2]
",,,
上がる,あがる,,車速,自動詞,,,F,,,,登坂路が終わる、または車速が十分に上がったら、シフトアップを許可する,,"ニ,カラ",,,
出す,だす,,"
自車 [2]

",,"効果 [1]
最大減速度 [2]
駆動力 [3]
加速度 [4]","


",T,"


",,F,"[1] ここでは、商品性確保や効果を出すための基本的な考え方・コンセプトから定義される要求と、システム外部から規定される要求（法規など）を記載する。
[2] 先行車との車間距離が詰まり、自車がACCの最大減速度を出しても支援が限界である場合は、ドライバに分かるように通知する
[3] エンジン/HV制御システムでアクセルペダル踏下に従って駆動力を出している場合は、制御用の駆動力よりも大きい値になる。
[4] 一時的に大きい加速度を出すためのアクセルペダル操作が終了したと判定した場合、追従走行もしくは定速走行の目標加減速度を算出し、加減速度の急変を抑制する。","


","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]",,,
受け付ける,うけつける,,"





エンジン/HV制御システム [7]
エンジン/HV制御システム [8]








ときに [17]











ACC [29]

時 [31]




クルーズシステム [36]

クルーズシステム [38]



エンジン/HV制御システム [42]







",,"セット操作 [1]
セット操作 [2]
参照セット操作 [3]
セット操作 [4]
セット操作 [5]
セット操作 [6]
要求 [7]
要求 [8]
タップアップ操作 [9]
タップアップ操作 [10]
タップアップ操作 [11]
タップダウン操作 [12]
タップダウン操作 [13]
参照タップアップ操作 [14]
タップアップ操作 [15]
タップダウン操作 [16]
タップダウン操作 [17]
参照タップダウン操作 [18]
アクセル操作 [19]
タップアップ操作 [20]
タップダウン操作 [21]
アクセル操作 [22]
コースト操作 [23]
アクセル操作 [24]
アクセル操作 [25]
アクセル操作 [26]
車間距離設定変更操作 [27]
操作 [28]
制御モード切替え操作 [29]
制御モード切り替え操作 [30]

制御モード切り替え操作 [32]
　ON操作 [33]
操作 [34]
　OFF操作 [35]
　ON操作 [36]
　OFF操作 [37]
　OFF操作 [38]
＜OFF操作 [39]
キャンセル操作 [40]
キャンセル操作 [41]
要求 [42]
リジューム操作 [43]
リジューム操作 [44]
リジューム操作 [45]
タップアップ操作 [46]
入力 [47]
入力 [48]
セット操作 [49]
消去操作 [50]","
















































",T,"
















































",,F,"[1] 定速制御モードのときにドライバのセット操作を受け付けた場合、定速走行を開始しても良い状況であると判定した時は、そのときの車速をセット車速として記憶する。
[2] ドライバのセット操作を受け付ける。
[3] ACC-15CY-NA-FR-FR0000-T01を参照セット操作を受け付けた時に、以下を満たせる状況で車間制御を行えると判定した場合、車間制御を開始する。
[4] 車間制御モードのときにドライバのセット操作を受け付けた場合、車間制御を開始しても良い状況であると判定した時は、そのときの車速をセット車速として記憶する。
[5] ドライバのセット操作を受け付ける。
[6] セット操作を受け付けた時に、以下を満たせる状況で車間制御を行えると判定した場合、車間制御を開始する。
[7] エンジン/HV制御システムが目標スロットル開度で要求を受け付ける場合は、目標駆動力を目標スロットル開度に変換し、目標スロットル開度を通知する。
[8] エンジン/HV制御システムが目標スロットル開度で要求を受け付ける場合は、目標駆動力を目標スロットル開度に変換し、目標スロットル開度を通知する。
[9] 車間制御モードで走行中、タップアップ操作・タップダウン操作を受け付けた場合、セット車速を一定値変化させて更新し、メータに反映する。
[10] タップアップ操作・タップダウン操作を受け付けた場合、セット車速の微調整を実施すると判定する。
[11] クルーズSWを押した瞬間にタップアップ操作・タップダウン操作を受け付ける。
[12] タップダウン操作を受け付けたときに、セット車速と現車速の差が大きい時は、セット車速を現車速とする。
[13] 定速制御モードまたはCCSで走行中、タップダウン操作・タップアップ操作を受け付けた場合、自車の車速を変化するように加減速する。
[14] ACC-15CY-NA-FR-FR0235-T00を参照タップアップ操作・タップダウン操作を受け付けた場合、セット車速の微調整を実施すると判定する。
[15] ACC-15CY-NA-FR-FR0134を参照クルーズSWを押した瞬間にタップアップ操作・タップダウン操作を受け付ける。
[16] 連続したタップダウン操作・タップアップ操作を受け付けたときにの操作初回で増減させたセット車速と現車速の差が大きい時は、タップダウン操作・タップアップ操作を受け付けない
[17] 連続したタップダウン操作・タップアップ操作を受け付けたときにの操作初回で増減させたセット車速と現車速の差が大きい時は、タップダウン操作・タップアップ操作を受け付けない
[18] ACC-15CY-NA-FR-FR014を参照タップダウン操作を受け付けたときに、セット車速と現車速の差が大きい時は、セット車速を現車速とする。
[19] 車間制御モードで走行中、アクセル操作・コースト操作を受け付けた場合、操作が継続している間はセット車速を連続的に増加または減少させて、メータ表示に反映する。
[20] ACC-15CY-NA-FR-FR0235-S00を参照車間制御モードで走行中、タップアップ操作・タップダウン操作を受け付けた場合、セット車速を一定値変化させて更新し、メータに反映する。
[21] 停止保持中はタップダウン操作のみを受け付ける
[22] ACC-15CY-NA-FR-FR0235-S01を参照車間制御モードで走行中、アクセル操作・コースト操作を受け付けた場合、操作が継続している間はセット車速を連続的に増加または減少させて、メータ表示に反映する。
[23] 停止保持中はコースト操作のみ受け付ける
[24] 定速制御モードまたはCCSで走行中、アクセル操作・コースト操作を受け付けた場合、自車の車速が連続的に変化するように加減速する。
[25] CCS時に、アクセル操作/コースト操作を受け付けたときは、加減速を行い、加減速で変化した現車速を表示する。
[26] CCS時に、アクセル操作・コースト操作を受け付けたときに、タップアップ操作・タップダウン操作によって書き換えられたセット車速に現車速が追い付いていない場合は、セット車速を変化させないこと。
[27] 車間制御モード中は、ドライバの車間距離設定変更操作を受け付ける。
[28] 例えば、操作を受け付けるたび現在の設定から「長」→「中」→「短」→「長」の順で切り替えるようにする。
[29] ACCがONの時に制御モード切替え操作を受け付けた場合、車間制御モードと定速制御モードを切り替え、メータに制御モードを表示のする。
[30] ドライバの制御モード切り替え操作を受け付ける。
[31] なお、ドライバが誤操作した場合に制御モード切り替え操作を受け付けないように、ドライバが意図的に操作したと判定できる時だけ受け付けるようにする。
[32] なお、ドライバが誤操作した場合に制御モード切り替え操作を受け付けないように、ドライバが意図的に操作したと判定できる時だけ受け付けるようにする。
[33] ドライバのメインSW　ON操作を受け付けた場合、クルーズシステムをONにし、メータに表示の開始を要求する。
[34] クルーズシステムを使わない状況では、操作を受け付けない状態にしている。
[35] （ACC-15CY-NA-FR-FR0066-S00）ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[36] クルーズシステムがOFFの時にドライバのメインSW　ON操作を受け付ける。
[37] ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[38] クルーズシステムがONの時に、ドライバのメインSW　OFF操作を受け付ける。
[39] ＜OFF操作受け付け時のキャンセル＞
[40] 制御中、クルーズSWによるキャンセル操作を受け付けた場合、制御をキャンセルしてセット車速を記憶し、メータに制御がキャンセル中であることの表示を要求する。
[41] 制御中、クルーズSWによるキャンセル操作を受け付けた場合、制御をキャンセルし、セット車速を記憶する。
[42] エンジン/HV制御システムが目標スロットル開度で要求を受け付ける場合は、目標駆動力を目標スロットル開度に変換し、目標スロットル開度を通知する。
[43] ＲＥＡＤＹ状態で、リジューム操作を受け付けた場合、制御を正しく作動できる条件が成立していたら、制御をキャンセルしたときのセット車速で制御を復帰する。
[44] READY状態で制御のリジューム操作を受け付ける。
[45] リジューム操作を受け付けた時に、正しく制御を行える条件が成立している場合、制御を復帰する。
[46] リジューム中のタップアップ操作・アクセル操作は無効とし、リジューム終了後よりタップアップ操作・アクセル操作を受け付ける。
[47] クルーズスイッチによる入力が同時に発生した場合、下記の優先順位で入力を受け付ける。
[48] クルーズスイッチによる入力が同時に発生した場合、下記の優先順位で入力を受け付ける。
[49] DSC作動中はクルーズシステムのセット操作を受け付けない
[50] 診断結果の消去操作を受け付けた場合、クルーズシステムの異常診断結果を全て消去する。","
















































","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,デ,カラ [7]
ニ,デ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]
ニ,カラ [14]
ニ,カラ [15]
ニ,カラ [16]
ニ,カラ [17]
ニ,カラ [18]
ニ,カラ [19]
ニ,カラ [20]
ニ,カラ [21]
ニ,カラ [22]
ニ,カラ [23]
ニ,カラ [24]
ニ,カラ [25]
ニ,カラ [26]
ニ,カラ [27]
ニ,カラ [28]
ニ,カラ [29]
ニ,カラ [30]
ニ,カラ [31]
ニ,カラ [32]
ニ,カラ [33]
ニ,カラ [34]
ニ,カラ [35]
ニ,カラ [36]
ニ,カラ [37]
ニ,カラ [38]
ニ,カラ [39]
ニ,カラ [40]
ニ,カラ [41]
ニ,デ,カラ [42]
ニ,デ,カラ [43]
ニ,デ,カラ [44]
ニ,カラ [45]
ニ,カラ [46]
ニ,デ,カラ [47]
ニ,デ,カラ [48]
ニ,カラ [49]
ニ,カラ [50]",,,
確認する,かくにんする,,"



クルーズシステム [5]",,"意思 [1]
（支援内容,ドライバ [2]
セット車速 [3]
認識 [4]
","



",T,"



",,F,"[1] メインSW　ONの後にセット操作、という２操作を行うことで、ドライバの明確な意思を確認している
[2] ドライバがクルーズシステムの制御状態（支援内容）を確認できること
[3] 定速制御モードで走行時、セット車速が目視で確認できること。
[4] クルーズSWによって、ミリ波レーダーの軸がずれておらず正常に認識できているか確認できること
[5] 工場を出荷するまでの工程でクルーズシステムの正常作動確認できない場合はダイアグ検出を行い、インジケータなどで作業者に分かるように表示をすること","



","ニ,デ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]",,,
得る,える,,"加速度 [1]
加速度 [2]
加速度 [3]
加速度 [4]
加速度 [5]
加速度 [6]",,"




","




",T,"




",,F,"[1] アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する
[2] アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する
[3] 同上アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する
[4] 同上アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する
[5] 同上アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する
[6] 同上アクセルペダルが踏まれたら、アクセルペダルを踏むことで得られる加速度と、クルーズシステムで得られる加速度の大きい方を出力する","




","ニ,デ,カラ [1]
ニ,デ,カラ [2]
ニ,デ,カラ [3]
ニ,デ,カラ [4]
ニ,デ,カラ [5]
ニ,デ,カラ [6]",,,
越える,こえる,,"
",,"（高速リミット [1]
（高速リミット [2]","
",T,"
",,F,"[1] クルーズシステムのセット車速の上限（高速リミット）を越えて加速しないこと。
[2] 同上クルーズシステムのセット車速の上限（高速リミット）を越えて加速しないこと。","
","ニ,カラ [1]
ニ,カラ [2]",,,
行く,いく,,"センサ [1]


ドライバ [4]
ドライバ [5]

運転者 [7]
前走車 [8]",,"センシング [1]
制御 [2]
制御 [3]
踏 [4]
ブレーキ踏 [5]
制動 [6]
操作 [7]
制動 [8]","






",,"






",,,"[1] センサは自車正面方向にセンシングを行っており、屈曲した道路では自車正面と先行車の位置がずれるため、(現状においては)センサの制約上、補正する必要がある。
[2] （ACC-15CY-NA-FR-FR0066-S00）ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[3] ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[4] 徐減処理実施中にドライバがアクセルペダルの踏下を行った場合は、速やかに制御を中止する。
[5] この時、ドライバがブレーキ踏下を行っていなければ、ブレーキ踏下を促すように通知し、ブレーキ操作が行われるまで制動を掛けるようブレーキＥＣＵに要求する。
[6] キャンセル時に制動を行っていた場合は、制動力が徐々に小さくなるように目標加速度を決定する。
[7] また、運転者が当該装置の作動中に何らかの操作を行った場合には、運転者の操作が優先されるものであること。
[8] ただし、前走車が急激な制動を行った場合を除く。","






","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]",,,
示す,しめす,,"





) [7]",,"対象読者と活用方法 [1]
イメージ [2]
操作例 [3]
システム構成 [4]
構成 [5]
ソフト種類発生有無 [6]
本車と前車との間の距離を測定すること [7]","





",T,"　12 [1]
　1-2 [2]
下記 [3]
下図 [4]
下図 [5]

(図4 [7]",,,"[1] 開発担当に応じた、本書の対象読者と活用方法を表　12に示す。
[2] またシステム開発フェーズにおけるイメージを図　1-2に示す。
[3] HMIの操作例を下記に示す。
[4] 本システムのシステム構成を下図に示す。
[5] 本書で定義するシステム要求の構成を下図に示す。
[6] 15CY以降に開発する全てのACCのバリエーション発生要因と各要因によるソフト種類発生有無を下表に示す。
[7] '直線道路の検知距離(タイプⅠ、Ⅱ、Ⅲ、Ⅳ)前車がd1からdmaxの距離範囲内にある場合、ACCシステムは、本車と前車との間の距離を測定すること(図4に示す)。","





","カラ [1]
カラ [2]
カラ [3]
カラ [4]
カラ [5]
ニ,カラ [6]
カラ [7]",,,
明るくする,あかるくする,,ブレーキランプ,,,,,,,,ブレーキランプが明るくなった暗くなったりすることを防止するため、ACCシステムのブレーキが終了した後、ブレーキランプは合理的な点灯時間を保持してもよい。,,"ニ,カラ",,,
無視する,むしする,,,,キャンセル・GVC無効,,T,,,,テストモード中は、VSCによるキャンセル・TRCによるキャンセル・GVC無効を無視する,,,,,
ロックする,ろっくする,,"EPB [1]
EPB [2]",,"
","
",T,"
",,F,"[1] 停止後、ドライバに発進の意思がないと判定した場合、EPBのロックを要求、車間制御をキャンセルし、メータにEPBがロックしたことの表示を要求する。
[2] EPBがロックすることで、正しく制御を行える条件が成立しなくなり、制御をキャンセルする。","
","ニ [1]
",,,
治る,なおる,,状態,自動詞,,,F,,,,他システムが故障した場合は、状態が治った段階でダイアグを解除し、クルーズシステムを利用できる状態にする,,"ニ,カラ",,,
中止する,ちゅうしする,,"



",,"制御 [1]
制御 [2]
制御 [3]
制御 [4]
運転支援 [5]","



",T,"



",,F,"[1] （ACC-15CY-NA-FR-FR0066-S00）ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[2] ドライバのメインSW　OFF操作を受け付けた時、制御を行っていた場合は制御を中止し、セット車速や車間設定を消去、メータに表示の終了を要求する。
[3] 制御中にクルーズシステムに異常が発生したことを検出した場合、制御を中止し、メータに制御が行えないこととその原因を表示することを要求する。
[4] 徐減処理実施中にドライバがアクセルペダルの踏下を行った場合は、速やかに制御を中止する。
[5] クルーズシステム異常時は即座にドライバに対して通知し、クルーズシステムによる運転支援を中止する","



","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]",,,
起こる,おこる,,異常,自動詞,,,T,クルーズシステム,,,クルーズシステムやクルーズシステムに関わる部品・通信で異常が起こったら、故障部位を特定できるようにダイアグを残すこと。,,"デ,カラ",,,
推定する,すいていする,,"
走行抵抗 [2]",,"勾配抵抗 [1]
","
",T,"
",,F,"[1] 路面勾配によって自車にかかる勾配抵抗を推定する。
[2] 現在パワトレで出ている駆動力を考慮し、算出した目標加速度、推定した勾配抵抗、走行抵抗から目標駆動力を決定する。","
","ニ,カラ [1]
",,,
異常だ,いじょうだ,,"
",,"
","
",,"
",,,"[1] 　・セット車速の取り得る範囲内の車速で走行している　　もしくは、全車速ACC時に先行車がいる　・異常が発生していない　・メインSW　ONであり、ドライバからみて制御中でない
[2] 　・セット車速の取り得る範囲内の車速で走行している　　もしくは、全車速ACC時に先行車がいる　・異常が発生していない　・メインSW　ONであり、ドライバからみて制御中でない","
","ニ [1]
ニ [2]",,,
判定する,はんていする,,"







先行車 [9]




自車 [14]
同上自車 [15]





















",,"







停止 [9]

発進の意思がないこと [11]


















どちら [30]






","



































",T,"



































",,F,"[1] 定速制御モードのときにドライバのセット操作を受け付けた場合、定速走行を開始しても良い状況であると判定した時は、そのときの車速をセット車速として記憶する。
[2] ACC-15CY-NA-FR-FR0000-T01を参照セット操作を受け付けた時に、以下を満たせる状況で車間制御を行えると判定した場合、車間制御を開始する。
[3] 制御中、降坂路走行時に自車がセット車速と同じ車速を維持できないと判定した場合、シフトダウンを要求する状況であると判定する。
[4] 制御中、降坂路走行時に自車がセット車速と同じ車速を維持できないと判定した場合、シフトダウンを要求する状況であると判定する。
[5] 車間制御モードのときにドライバのセット操作を受け付けた場合、車間制御を開始しても良い状況であると判定した時は、そのときの車速をセット車速として記憶する。
[6] セット操作を受け付けた時に、以下を満たせる状況で車間制御を行えると判定した場合、車間制御を開始する。
[7] (ACC-15CY-NA-FR-FR0065-T02)ACCの場合、以下の全ての異常が発生していない場合は車間制御を正常に作動できると判定する。
[8] ACC-15CY-NA-FR-FR0065-T05を参照制御を正常に作動できないと判定した場合、メータにその原因を通知し、原因を表示することを要求する。
[9] 先行車がいる場合、先行車の停止を判定する。
[10] 停止後、ドライバに発進の意思がないと判定した場合、EPBのロックを要求、車間制御をキャンセルし、メータにEPBがロックしたことの表示を要求する。
[11] 停止後、ドライバに発進の意思がないことを判定する。
[12] 以下のような場合に、発進の意思がないと判定することができる。
[13] ACC-15CY-NA-FR-FR0067-T07、ACC-15CY-NA-FR-FR0067-T08を参照(ACC-15CY-NA-FR-FR0067-T07)制御中、正しく制御を行える条件が成立しなくなったと判定した場合、制御をキャンセルする。
[14] 自車が自車停止判定するまでに、先行車が発進したら、ドライバの操作無く、自車も発進すること。
[15] 同上自車が自車停止判定するまでに、先行車が発進したら、ドライバの操作無く、自車も発進すること。
[16] 先行車がいなくなったときに、車速が一定速で制御を行える速度よりも小さいと判定した場合は、制御をキャンセルする。
[17] 一時的に大きい加速度を出すためのアクセルペダル操作が終了したと判定した場合、追従走行もしくは定速走行の目標加減速度を算出し、加減速度の急変を抑制する。
[18] 制御中に加速状態が継続し、異常だと判定した場合、目標駆動力が小さくなるように制限し、制限した値に基づいて制御を行う。
[19] ドライバが、セット車速の調整やアクセルペダルの操作をしていないにもかかわらず、エンジン/HV制御システムに要求する駆動力が上限値を超えている状態が一定時間以上継続した場合、加速状態が継続していると判定する。
[20] タップアップ操作・タップダウン操作を受け付けた場合、セット車速の微調整を実施すると判定する。
[21] ACC-15CY-NA-FR-FR0235-T00を参照タップアップ操作・タップダウン操作を受け付けた場合、セット車速の微調整を実施すると判定する。
[22] アクセル操作・コースト操作を受付けた場合、セット車速の調整を実施すると判定する。
[23] ACC-15CY-NA-FR-FR0235-T03を参照アクセル操作・コースト操作を受付けた場合、セット車速の調整を実施すると判定する。
[24] なお、ドライバが誤操作した場合に制御モード切り替え操作を受け付けないように、ドライバが意図的に操作したと判定できる時だけ受け付けるようにする。
[25] 定速制御モードに切り替えた場合、以下の全ての異常が発生していない場合は定速制御を正常に作動できると判定する。
[26] ACC-15CY-NA-FR-FR0065-T05を参照制御を正常に作動できないと判定した場合、メータにその原因を通知し、原因を表示することを要求する。
[27] そして、制御を正常に作動できると判定した場合はメータに現在の制御モードの表示を要求し、正常に作動できない場合は制御が行えないこととその原因を表示することを要求する。
[28] ACCの場合、以下の全ての異常が発生していない場合は車間制御を正常に作動できると判定する。
[29] CCSの場合、以下の全ての異常が発生していない場合は制御を正常に作動できると判定する。
[30] 現在のクルーズシステムがACC、CCSのどちらなのかを判定する。
[31] ACCでは、正常に制御を行えると判定したときに、メータに現在の制御モードを通知し、制御モードを表示することを要求する。
[32] 制御を正常に作動できないと判定した場合、メータにその原因を通知し、原因を表示することを要求する。
[33] ACC-15CY-NA-FR-FR0067-T07～ACC-15CY-NA-FR-FR0067-T08を参照（ACC-15CY-NA-FR-FR0067-T07）制御中、正しく制御を行える条件が成立しなくなったと判定した場合、制御をキャンセルする。
[34] 制御中に一時的に減速するようにドライバがブレーキペダルを踏んでいると判定した場合は、制御をキャンセルしてメータに制御がREADY状態であることの表示を要求する。
[35] 制御中、ドライバがブレーキペダルを踏んでいると判定した場合は、制御をキャンセルする。
[36] 制御中、正しく制御を行える条件が成立しなくなったと判定した場合、制御をキャンセルする。
[37] ACC-15CY-NA-FR-FR0065-T05を参照制御を正常に作動できないと判定した場合、メータにその原因を通知し、原因を表示することを要求する。","



































","ニ,ト [1]
ニ,ト,カラ [2]
ニ,ト,カラ [3]
ニ,カラ [4]
ニ,ト [5]
ニ,ト,カラ [6]
ニ,ト,カラ [7]
ニ,ト,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,ト,カラ [12]
ニ,ト,カラ [13]


ニ,ト,カラ [16]
ニ,ト,カラ [17]
ニ,ト,カラ [18]
ニ,ト,カラ [19]
ニ,ト,カラ [20]
ニ,ト,カラ [21]
ニ,ト,カラ [22]
ニ,ト,カラ [23]
ト,カラ [24]
ニ,ト,カラ [25]
ニ,ト,カラ [26]
ニ,ト,カラ [27]
ニ,ト,カラ [28]
ニ,ト,カラ [29]
ニ,カラ [30]
ニ,ト,カラ [31]
ニ,ト,カラ [32]
ニ,ト,カラ [33]
ニ,カラ [34]
ニ,ト,カラ [35]
ニ,ト,カラ [36]
ニ,ト,カラ [37]",,,
限定する,げんていする,,,,公開範囲,,T,,,,但し、やむを得ず本書に記載する場合は、公開範囲を限定すること。,,カラ,,,
享受する,きょうじゅする,,([　],,嬉しさ,,T,,,F,商品性(F)　：他社比較した商品力の位置づけ見える化、機能・性能目標の関係者間での共有品質(Q)　：思想/背景/要求の理由/トレース明確化　⇒　抜けのない仕様開発、機能安全対応コスト(C)　：明確な要求に基づいた開発　⇒　開発項目の絞りこみ、商品力につながらない開発削減開発日程(D)　：思想/背景/要求の理由/トレース明確化　⇒　開発手戻り削減、設変期間短縮具体的に実現する項目を下表に記載する([　]内は嬉しさを享受する部署)。,,"ニ,カラ",,,
高くする,たかくする,,,,優位権,,,,,,運転者とACCシステムとが同時にエンジンの動力制御(スロットルの操作)の請求があったとき、運転者のエンジン動力制御の優位権を常にACCシステムより高くするため、二者のうち大きい方を基準とすること。,,"ニ,カラ,ヨリ",,,
導入する,どうにゅうする,,部品,,仕組み,,T,,,,仕向けなどでバリエーションのある部品は、部品のバリエーションを工場の検査ツールにC-BEST経由で知らせる仕組みを導入すること(品番読み出し),,"ニ,デ,カラ",,,
